trial,write_status,read_status,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_stage_times_ms,read_stage_times_ms
1,completed,completed,159.8083818246708,132.906404395606,292.7147862202768,"{""addressing"": 10.134253910808667, ""encoding"": 6.873453104853852, ""molecular_write"": 124.10711494844931, ""write_verification"": 17.693559860558963, ""buffer"": 1.0}","{""addressing"": 6.915748521850999, ""molecular_access"": 56.295426074168965, ""sensing"": 42.557709300419354, ""basecalling"": 12.32013872343676, ""decoding"": 9.258705414305906, ""error_correction"": 4.558676361424031, ""buffer"": 1.0}"
2,completed,completed,126.47502959817895,122.14650829486935,248.6215378930483,"{""addressing"": 9.933076427779948, ""encoding"": 6.607763285982515, ""molecular_write"": 95.00662473094174, ""write_verification"": 13.927565153474745, ""buffer"": 1.0}","{""addressing"": 8.261131459204133, ""molecular_access"": 37.86974088704664, ""sensing"": 38.415455208844634, ""basecalling"": 17.374100014382506, ""decoding"": 12.097735064923166, ""error_correction"": 7.128345660468276, ""buffer"": 1.0}"
3,completed,completed,212.6005628404081,130.03121733402168,342.63178017442976,"{""addressing"": 8.581142403404325, ""encoding"": 5.24492614725656, ""molecular_write"": 181.0779260219272, ""write_verification"": 16.696568267819995, ""buffer"": 1.0}","{""addressing"": 11.525632744862953, ""molecular_access"": 49.512284485019194, ""sensing"": 31.97145722882335, ""basecalling"": 13.072312649161603, ""decoding"": 15.063238000865194, ""error_correction"": 7.886292225289357, ""buffer"": 1.0}"
4,completed,completed,138.5055886901478,135.22749762865575,273.73308631880354,"{""addressing"": 7.9224714977032145, ""encoding"": 5.6035009681625105, ""molecular_write"": 107.83324001735465, ""write_verification"": 16.146376206927407, ""buffer"": 1.0}","{""addressing"": 9.661001732514826, ""molecular_access"": 56.321344488272956, ""sensing"": 33.79621618972706, ""basecalling"": 18.013772875613498, ""decoding"": 8.918913178436956, ""error_correction"": 7.516249164090486, ""buffer"": 1.0}"
5,completed,completed,138.31265305473332,117.06087393210004,255.37352698683335,"{""addressing"": 9.099710879381607, ""encoding"": 4.131960689939065, ""molecular_write"": 109.2032378395171, ""write_verification"": 14.877743645895547, ""buffer"": 1.0}","{""addressing"": 9.120727197336176, ""molecular_access"": 31.59538974747132, ""sensing"": 41.05047943415843, ""basecalling"": 16.41775527754914, ""decoding"": 10.68572357285665, ""error_correction"": 7.1907987027283085, ""buffer"": 1.0}"
6,completed,completed,133.28160142174602,134.0175368094636,267.2991382312096,"{""addressing"": 7.873524863613381, ""encoding"": 5.587598101163913, ""molecular_write"": 108.19739097531689, ""write_verification"": 10.623087481651844, ""buffer"": 1.0}","{""addressing"": 6.506261880918986, ""molecular_access"": 55.87203378744452, ""sensing"": 36.66293712891287, ""basecalling"": 16.644886811330096, ""decoding"": 11.615063811374455, ""error_correction"": 5.716353389482663, ""buffer"": 1.0}"
7,completed,completed,163.9621248016983,134.5883591874332,298.5504839891315,"{""addressing"": 6.7458715556536575, ""encoding"": 6.452921795354316, ""molecular_write"": 135.9672814230158, ""write_verification"": 13.796050027674537, ""buffer"": 1.0}","{""addressing"": 5.943901675858218, ""molecular_access"": 44.883111954863786, ""sensing"": 39.02867690210303, ""basecalling"": 21.117112963912092, ""decoding"": 14.172737529572352, ""error_correction"": 8.442818161123775, ""buffer"": 1.0}"
8,completed,completed,108.88175441056251,142.06979505614072,250.95154946670323,"{""addressing"": 8.65514364751903, ""encoding"": 7.535579993169407, ""molecular_write"": 72.93522702708295, ""write_verification"": 18.755803742791127, ""buffer"": 1.0}","{""addressing"": 5.7640712386210256, ""molecular_access"": 64.86876610371678, ""sensing"": 34.82589983204018, ""basecalling"": 15.958582677507145, ""decoding"": 9.759485339570027, ""error_correction"": 9.892989864685557, ""buffer"": 1.0}"
9,completed,completed,102.03664677130173,120.11525086735047,222.1518976386522,"{""addressing"": 6.746182149360612, ""encoding"": 6.083888271217469, ""molecular_write"": 76.73008345854586, ""write_verification"": 11.47649289217779, ""buffer"": 1.0}","{""addressing"": 7.63057166969495, ""molecular_access"": 36.40041772925046, ""sensing"": 35.860714979301136, ""basecalling"": 18.6623637228235, ""decoding"": 12.702575858879573, ""error_correction"": 7.858606907400834, ""buffer"": 1.0}"
10,completed,completed,182.57738068223347,124.2860761657007,306.8634568479342,"{""addressing"": 6.984426292330067, ""encoding"": 5.585788759498763, ""molecular_write"": 152.87560101964604, ""write_verification"": 16.1315646107586, ""buffer"": 1.0}","{""addressing"": 7.575055166693839, ""molecular_access"": 41.83935642786473, ""sensing"": 37.2951262952392, ""basecalling"": 17.259585963432396, ""decoding"": 11.481916522826575, ""error_correction"": 7.8350357896439595, ""buffer"": 1.0}"
