payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,molecular_write_speedup,logical_blocks,write_latency_ms,cold_read_latency_ms,roundtrip_latency_ms,write_throughput_bytes_per_s,cold_read_throughput_bytes_per_s,write_rank
1073741824,1024 MB,128,1048576,1 MB,64,1024,49187.305023799585,152023.76520943153,201211.07023323112,21829653.474213786,7062986.6489675995,1
1073741824,1024 MB,128,262144,256 KB,64,4096,49379.305023799585,153439.0608377261,202818.3658615257,21744773.91859775,6997838.869305688,2
1073741824,1024 MB,128,65536,64 KB,64,16384,50147.305023799585,159100.2433509044,209247.548374704,21411755.297526143,6748838.351125604,3
1073741824,1024 MB,128,16384,16 KB,64,65536,53219.305023799585,181744.97340361762,234964.27842741722,20175795.672638424,5907958.849653815,4
1073741824,1024 MB,128,1048576,1 MB,32,1024,53254.61004759916,152023.76520943153,205278.37525703068,20162420.174333934,7062986.6489675995,5
1073741824,1024 MB,128,262144,256 KB,32,4096,53446.61004759916,153439.0608377261,206885.67088532526,20089989.300420236,6997838.869305688,6
1073741824,1024 MB,128,65536,64 KB,32,16384,54214.61004759916,159100.2433509044,213314.85339850356,19805396.055736262,6748838.351125604,7
1073741824,1024 MB,128,16384,16 KB,32,65536,57286.61004759916,181744.97340361762,239031.58345121678,18743329.77824719,5907958.849653815,8
1073741824,1024 MB,128,1048576,1 MB,16,1024,61389.220095198325,152023.76520943153,213412.98530462984,17490722.676308844,7062986.6489675995,9
1073741824,1024 MB,128,262144,256 KB,16,4096,61581.220095198325,153439.0608377261,215020.28093292442,17436189.512648564,6997838.869305688,10
1073741824,1024 MB,128,65536,64 KB,16,16384,62349.220095198325,159100.2433509044,221449.46344610275,17221415.478181604,6748838.351125604,11
1073741824,1024 MB,128,16384,16 KB,16,65536,65421.220095198325,181744.97340361762,247166.19349881593,16412745.320823032,5907958.849653815,12
1073741824,1024 MB,128,4096,4 KB,64,262144,65507.305023799585,272323.89361447055,337831.19863827014,16391176.886454064,3942885.105484348,13
1073741824,1024 MB,128,4096,4 KB,32,262144,69574.61004759916,272323.89361447055,341898.5036620697,15432954.971151177,3942885.105484348,14
1073741824,1024 MB,128,1048576,1 MB,8,1024,77658.44019039665,152023.76520943153,229682.20539982818,13826466.529169105,7062986.6489675995,15
1073741824,1024 MB,128,4096,4 KB,16,262144,77709.22009519832,272323.89361447055,350033.11370966886,13817431.479618555,3942885.105484348,16
1073741824,1024 MB,128,262144,256 KB,8,4096,77850.44019039665,153439.0608377261,231289.50102812276,13792366.76599361,6997838.869305688,17
1073741824,1024 MB,128,65536,64 KB,8,16384,78618.44019039665,159100.2433509044,237718.68354130106,13657633.265168227,6748838.351125604,18
