payload_size_bytes,payload_size_label,logical_block_size_bytes,logical_block_size_label,logical_blocks,cold_read_latency_ms,hot_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,hot_read_throughput_bytes_per_s,write_throughput_bytes_per_s,cold_read_success_rate,hot_read_success_rate,write_success_rate,cold_molecular_reads,hot_molecular_reads,molecular_writes
5,5 B,512,512 B,1,62.972400999202634,0.2,9.405832786453484,72.37823378565612,79.39986280757043,25000.0,531.5850402104878,1.0,1.0,1.0,1,0,1
1024,1 KB,512,512 B,2,76.81474937507701,0.2,29.024975693870346,105.83972506894736,13330.773169615297,5120000.0,35279.960638046425,1.0,1.0,1.0,2,0,2
4096,4 KB,512,512 B,8,138.64768110977352,0.4,61.952970027215265,200.60065113698877,29542.506352897566,10240000.0,66114.66727423514,1.0,1.0,1.0,8,0,8
16384,16 KB,512,512 B,32,564.7265115403312,1.5999999999999999,216.33341954006025,781.0599310803915,29012.27349024484,10240000.0,75734.94670788042,1.0,1.0,1.0,32,0,32
65536,64 KB,512,512 B,128,2206.7692479740394,6.400000000000003,881.9058239654687,3088.675071939508,29697.713098080552,10239999.999999996,74311.78955743702,1.0,1.0,1.0,128,0,128
262144,256 KB,512,512 B,512,8684.212320018587,25.59999999999994,3416.483165008804,12100.69548502739,30186.272552976796,10240000.000000022,76729.19412712063,1.0,1.0,1.0,512,0,512
1048576,1 MB,512,512 B,2048,34932.83171280153,102.40000000000092,13610.99391409053,48543.82562689207,30016.91957356373,10239999.999999909,77038.90006992663,1.0,1.0,1.0,2048,0,2048
5242880,5 MB,512,512 B,10240,175275.3850561887,511.9999999999795,68193.28255346837,243468.66760965707,29912.243515079255,10240000.00000041,76882.6459686731,1.0,1.0,1.0,10240,0,10240
10485760,10 MB,512,512 B,20480,349559.4957700987,1024.0000000000957,136315.07731658654,485874.57308668527,29997.06810109477,10239999.999999043,76922.96557663407,1.0,1.0,1.0,20480,0,20480
5,5 B,1024,1 KB,1,62.972400999202634,0.2,9.405832786453484,72.37823378565612,79.39986280757043,25000.0,531.5850402104878,1.0,1.0,1.0,1,0,1
1024,1 KB,1024,1 KB,1,81.68988546987607,0.2,48.83760127295798,130.52748674283407,12535.211600677416,5120000.0,20967.45076148943,1.0,1.0,1.0,1,0,1
4096,4 KB,1024,1 KB,4,86.21446958557202,0.2,49.262782926608665,135.47725251218068,47509.42643026438,20480000.0,83145.93201326428,1.0,1.0,1.0,4,0,4
16384,16 KB,1024,1 KB,16,360.2328295047038,0.8,185.39646805666928,545.629297561373,45481.695886871035,20480000.0,88372.77307241893,1.0,1.0,1.0,16,0,16
65536,64 KB,1024,1 KB,64,1252.932270545547,3.2000000000000006,748.8561352966966,2001.7884058422437,52306.09949208552,20479999.999999996,87514.80679801689,1.0,1.0,1.0,64,0,64
262144,256 KB,1024,1 KB,256,5032.666162653738,12.799999999999986,2956.4452113655984,7989.111374019336,52088.49375810192,20480000.000000022,88668.64807513691,1.0,1.0,1.0,256,0,256
1048576,1 MB,1024,1 KB,1024,19860.236809307004,51.20000000000019,11590.836917403283,31451.07372671029,52797.75916411082,20479999.999999925,90465.94369950936,1.0,1.0,1.0,1024,0,1024
5242880,5 MB,1024,1 KB,5120,99487.9687738511,255.999999999994,57968.01946789563,157455.98824174673,52698.63345906416,20480000.00000048,90444.3527332111,1.0,1.0,1.0,5120,0,5120
10485760,10 MB,1024,1 KB,10240,198950.83309691,511.9999999999795,115898.78968508169,314849.6227819917,52705.2831937242,20480000.00000082,90473.42106411755,1.0,1.0,1.0,10240,0,10240
5,5 B,4096,4 KB,1,62.972400999202634,0.2,9.405832786453484,72.37823378565612,79.39986280757043,25000.0,531.5850402104878,1.0,1.0,1.0,1,0,1
1024,1 KB,4096,4 KB,1,81.68988546987607,0.2,48.83760127295798,130.52748674283407,12535.211600677416,5120000.0,20967.45076148943,1.0,1.0,1.0,1,0,1
4096,4 KB,4096,4 KB,1,138.11786613121936,0.2,167.71335474748378,305.8312208787031,29655.830304448675,20480000.0,24422.62279093462,1.0,1.0,1.0,1,0,1
16384,16 KB,4096,4 KB,4,142.612790848542,0.2,178.1822403660375,320.79503121457947,114884.50581827668,81920000.0,91950.80253981856,1.0,1.0,1.0,4,0,4
65536,64 KB,4096,4 KB,16,579.1053045424845,0.8,671.2545582365567,1250.3598627790411,113167.67345409823,81920000.0,97632.11168676261,1.0,1.0,1.0,16,0,16
