payload_size_bytes,payload_size_label,channels,logical_block_size_bytes,logical_block_size_label,read_path_speedup,write_path_speedup,logical_blocks,cold_read_latency_ms,write_latency_ms,roundtrip_latency_ms,cold_read_throughput_bytes_per_s,write_throughput_bytes_per_s,meets_read_500_MBps_target,meets_write_500_MBps_target,meets_roundtrip_target,meets_all_targets
1073741824,1024 MB,64,65536,64 KB,1,1,16384,318200.4867018088,612775.0430463463,930975.529748155,3374419.175562802,1752261.023330856,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,2,16384,316152.4867018088,307411.5215231731,623564.0082249818,3396278.2807801864,3492848.34439447,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,4,16384,315128.4867018088,154729.76076158654,469858.24746339535,3407314.3790901746,6939465.41838491,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,8,16384,314616.4867018088,78388.8803807933,393005.3670826021,3412859.368103251,13697629.29109377,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,16,16384,314360.4867018088,40218.44019039665,354578.9268922055,3415638.635966718,26697749.065275483,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,32,16384,314232.4867018088,21133.22009519832,335365.7067970071,3417029.968066059,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,64,16384,314168.4867018088,11590.610047599164,325759.096749408,3417726.059263021,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,128,16384,314136.4867018088,6819.305023799581,320955.7917256084,3418074.211224116,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,1,256,16384,314120.4867018088,4433.652511899791,318554.1392137086,3418248.3138047964,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,1,16384,166648.4867018088,610727.0430463463,777375.529748155,6443153.761853785,1758137.0208270226,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,2,16384,166648.4867018088,307411.5215231731,474060.0082249819,6443153.761853785,3492848.34439447,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,4,16384,165624.4867018088,154729.76076158654,320354.24746339535,6482989.595211065,6939465.41838491,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,8,16384,165112.4867018088,78388.8803807933,243501.3670826021,6503092.80326669,13697629.29109377,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,16,16384,164856.4867018088,40218.44019039665,205074.92689220546,6513191.233670873,26697749.065275483,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,32,16384,164728.4867018088,21133.22009519832,185861.70679700712,6518252.21914219,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,64,16384,164664.4867018088,11590.610047599164,176255.09674940797,6520785.66245095,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,128,16384,164632.4867018088,6819.305023799581,171451.7917256084,6522053.122752247,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,2,256,16384,164616.4867018088,4433.652511899791,169050.1392137086,6522687.037690264,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,1,16384,90872.48670180881,609703.0430463463,700575.529748155,11815917.69930763,1761089.822735853,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,2,16384,90872.48670180881,306387.5215231731,397260.0082249819,11815917.69930763,3504522.0466617127,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,4,16384,90872.48670180881,154729.76076158654,245602.24746339535,11815917.69930763,6939465.41838491,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,8,16384,90360.48670180881,78388.8803807933,168749.3670826021,11882868.975057282,13697629.29109377,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,16,16384,90104.48670180881,40218.44019039665,130322.92689220546,11916629.940453842,26697749.065275483,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,32,16384,89976.48670180881,21133.22009519832,111109.70679700714,11933582.465366637,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,64,16384,89912.48670180881,11590.610047599164,101503.09674940798,11942076.828116456,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,128,16384,89880.48670180881,6819.305023799581,96699.79172560839,11946328.545842102,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,4,256,16384,89864.48670180881,4433.652511899791,94298.13921370861,11948455.540206045,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,1,16384,52984.48670180882,609191.0430463463,662175.5297481552,20265211.40127123,1762569.9462529875,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,2,16384,52984.48670180882,305875.5215231731,358860.0082249819,20265211.40127123,3510388.2084224042,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,4,16384,52984.48670180882,154217.76076158654,207202.24746339535,20265211.40127123,6962504.310122586,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,8,16384,52984.48670180882,78388.8803807933,131373.3670826021,20265211.40127123,13697629.29109377,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,16,16384,52728.48670180882,40218.44019039665,92946.92689220546,20363600.23135589,26697749.065275483,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,32,16384,52600.48670180882,21133.22009519832,73733.70679700714,20413153.781010095,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,64,16384,52536.48670180882,11590.610047599164,64127.09674940798,20438021.105111912,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,128,16384,52504.48670180882,6819.305023799581,59323.791725608404,20450477.50105914,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,8,256,16384,52488.48670180882,4433.652511899791,56922.13921370861,20456711.394634236,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,1,16384,34040.48670180882,608935.0430463463,642975.5297481552,31543080.843874782,1763310.9413909637,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,2,16384,34040.48670180882,305619.5215231731,339660.0082249819,31543080.843874782,3513328.659925231,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,4,16384,34040.48670180882,153961.76076158654,188002.24746339535,31543080.843874782,6974081.21788575,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,8,16384,34040.48670180882,78132.8803807933,112173.36708260211,31543080.843874782,13742509.155773403,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,16,16384,34040.48670180882,40218.44019039665,74258.92689220546,31543080.843874782,26697749.065275483,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,32,16384,33912.48670180882,21133.22009519832,55045.70679700714,31662137.70878468,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,64,16384,33848.48670180882,11590.610047599164,45439.09674940798,31722003.806528248,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,128,16384,33816.48670180882,6819.305023799581,40635.791725608404,31752021.83089488,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,16,256,16384,33800.48670180882,4433.652511899791,38234.13921370861,31767052.157344796,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,1,16384,24568.48670180882,608807.0430463463,633375.5297481552,43704027.7259302,1763681.6726482252,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,2,16384,24568.48670180882,305491.5215231731,330060.0082249819,43704027.7259302,3514800.733736734,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,4,16384,24568.48670180882,153833.76076158654,178402.24746339535,43704027.7259302,6979884.120912173,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,8,16384,24568.48670180882,78004.8803807933,102573.36708260211,43704027.7259302,13765059.554714495,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,16,16384,24568.48670180882,40090.44019039665,64658.92689220547,43704027.7259302,26782989.134083055,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,32,16384,24568.48670180882,21133.22009519832,45701.70679700714,43704027.7259302,50808244.98884412,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,64,16384,24504.48670180882,11590.610047599164,36095.09674940798,43818172.44597663,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,128,16384,24472.48670180882,6819.305023799581,31291.7917256084,43875468.68788929,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,32,256,16384,24456.48670180882,4433.652511899791,28890.139213708608,43904173.03563824,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,1,16384,19832.48670180882,608743.0430463463,628575.5297481552,54140554.34117949,1763867.0967419192,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,2,16384,19832.48670180882,305427.5215231731,325260.0082249819,54140554.34117949,3515537.2333351895,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,4,16384,19832.48670180882,153769.76076158654,173602.24746339535,54140554.34117949,6982789.195235797,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,8,16384,19832.48670180882,77940.8803807933,97773.36708260211,54140554.34117949,13776362.529574383,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,16,16384,19832.48670180882,40026.44019039665,59858.92689220547,54140554.34117949,26825813.609515484,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,32,16384,19832.48670180882,21069.22009519832,40901.70679700714,54140554.34117949,50962580.4442902,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,64,16384,19832.48670180882,11590.610047599164,31423.09674940798,54140554.34117949,92638939.58906943,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,128,16384,19800.48670180882,6819.305023799581,26619.7917256084,54228052.076210395,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,64,256,16384,19784.48670180882,4433.652511899791,24218.139213708608,54271907.08474796,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,1,16384,17464.48670180882,608711.0430463463,626175.5297481552,61481441.873054944,1763959.823410411,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,2,16384,17464.48670180882,305395.5215231731,322860.0082249819,61481441.873054944,3515905.598892437,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,4,16384,17464.48670180882,153737.76076158654,171202.24746339535,61481441.873054944,6984242.639419846,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,8,16384,17464.48670180882,77908.8803807933,95373.36708260211,61481441.873054944,13782020.98081629,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,16,16384,17464.48670180882,39994.44019039665,57458.92689220547,61481441.873054944,26847277.243746087,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,32,16384,17464.48670180882,21037.22009519832,38501.70679700714,61481441.873054944,51040100.31463607,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,64,16384,17464.48670180882,11558.610047599164,29023.09674940798,61481441.873054944,92895410.3978122,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,128,16384,17464.48670180882,6819.305023799581,24283.7917256084,61481441.873054944,157456195.35313475,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,128,256,16384,17448.48670180882,4433.652511899791,21882.139213708608,61537819.43099336,242179968.12292102,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,1,16384,16280.486701808817,608695.0430463463,624975.5297481552,65952685.79290713,1764006.1904007404,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,2,16384,16280.486701808817,305379.5215231731,321660.0082249819,65952685.79290713,3516089.810621179,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,4,16384,16280.486701808817,153721.76076158654,170002.24746339535,65952685.79290713,6984969.58843264,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,8,16384,16280.486701808817,77892.8803807933,94173.36708260211,65952685.79290713,13784851.949893504,False,False,False,False
1073741824,1024 MB,64,65536,64 KB,256,16,16384,16280.486701808817,39978.44019039665,56258.92689220547,65952685.79290713,26858021.945986953,False,False,False,False
